question,expected_document,difficulty,type,expected_document_rank,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,ndcg_at_k,top_k_sources
What is under-representation in the context of language models?,AI Engineering.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf
What is lexical similarity?,AI Engineering.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf
What is edit distance?,AI Engineering.pdf,easy,definition,2,1,1.0,0.2,0.5,0.6309297535714575,Data Science.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf
What is an evaluation set?,AI Engineering.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | Data Science.pdf | AI Engineering.pdf | Data Science.pdf | ML.pdf
What is a multi-agent system?,AI Engineering.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf
Why does under-representation of certain languages in training data contribute to GPT-4's poor performance on math problems in those languages?,AI Engineering.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | Data Science.pdf | AI Engineering.pdf
How does the structure of a language and its cultural context influence a model's ability to learn and process that language effectively?,AI Engineering.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf
"Why is exact match evaluation insufficient for complex tasks, and what alternative metrics are better suited for assessing model responses?",AI Engineering.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf
"What principle does lexical similarity measurement illustrate, and how does it differ from semantic similarity in evaluating model outputs?",AI Engineering.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf
"What factors determine the required size of an evaluation set for reliable model assessment, and how can bootstrapping help validate results?",AI Engineering.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | ML.pdf
"How does GPT-4's performance in solving math problems in English compare to its performance in under-represented languages like Burmese or Amharic, and what factors contribute to this disparity?",AI Engineering.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf
"What is the difference between exact match evaluation and lexical similarity measures in assessing model responses, and why is lexical similarity preferred for complex tasks?",AI Engineering.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf
"How does the approach of translating queries into English to overcome language barriers compare to the challenges of handling under-represented languages directly, according to the document?",AI Engineering.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | ML.pdf | AI Engineering.pdf
"What are the trade-offs between generating multiple plans in parallel for multi-agent systems versus sequential plan generation, and how does this impact latency and cost?",AI Engineering.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf
How does the inclusion of typo-containing examples in evaluation sets compare to the inclusion of out-of-scope inputs in terms of their purpose and impact on model reliability?,AI Engineering.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf
A multilingual customer support system receives a query in Punjabi asking for solutions to a math problem. The system uses GPT-4 to generate answers. What would be the best approach to ensure accurate responses while addressing potential language bias issues?,AI Engineering.pdf,hard,scenario,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf
"An AI assistant is asked, 'What year was Anne Frank born?' It responds with 'September 12, 1929.' Despite containing the correct year, the response is marked incorrect. What evaluation methodology should be used to fairly assess this scenario?",AI Engineering.pdf,hard,scenario,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf
"A company wants to test its AI system's ability to handle typos in user queries. Based on the evaluation strategies discussed, what specific type of evaluation set should they create to simulate real-world input errors?",AI Engineering.pdf,hard,scenario,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf
An AI agent is tasked with resolving a customer's request to 'reset my password.' The system must determine whether to use a documentation retrieval tool or a payment history tool. What mechanism from the text would best help the agent make this decision?,AI Engineering.pdf,hard,scenario,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf
"A team is evaluating an AI model's performance on a dataset of 100 examples. They notice significant variance in results when using different bootstrap samples. According to the text, what action should they take to improve evaluation reliability?",AI Engineering.pdf,hard,scenario,1,1,1.0,0.2,1.0,1.0,AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf | AI Engineering.pdf
What is the significance of linear separability in the output layer of a neural network?,Data Science.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf | AI Engineering.pdf
Define the Expectation-Maximization (EM) algorithm and its primary use case.,Data Science.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf
What is the purpose of the normal equation method in solving for parameter matrices?,Data Science.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf
Why is cumulative explained variance important when using PCA for data visualization?,Data Science.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf
What does the hyperparameter 'k' represent in the k-nearest neighbors algorithm?,Data Science.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf
Why is linear separability of data at the output layer critical for accurate predictions in neural networks?,Data Science.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf
What principle underlies the necessity of using the Expectation-Maximization (EM) algorithm for datasets with unobserved labels?,Data Science.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf
Why do cumulative explained variance plots (CEV) provide a more reliable assessment of PCA's effectiveness for visualization?,Data Science.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf
How does dynamically adjusting the k-value in k-NN address the trade-off between model bias and majority class dominance?,Data Science.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | AI Engineering.pdf | Data Science.pdf | Data Science.pdf
What advantage does using the 25th-75th percentile line offer over regression fits in QQ plots for detecting distributional differences?,Data Science.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf
"How does the linear transformation in the output layer of a neural network differ from the non-linear transformations in hidden layers, and why is linear separability important for accurate predictions?",Data Science.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf | AI Engineering.pdf
Compare the use of the EM algorithm with maximum likelihood estimation (MLE) in handling datasets with hidden labels. What makes EM particularly suitable for such scenarios?,Data Science.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf
What is the advantage of using a cumulative explained variance (CEV) plot over simply examining the first two principal components in PCA for data visualization?,Data Science.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf
How do low values of k in k-nearest neighbors (k-NN) differ from higher values in terms of prediction accuracy and potential bias toward the majority class?,Data Science.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf
"Why is the reference line connecting the 25th and 75th percentiles preferred over a regression fit in QQ plots, and what does deviation from this line indicate?",Data Science.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf
"A data scientist is building a neural network for image classification. The model's output layer requires linearly separable data. If the dataset contains complex patterns that are not linearly separable, what would be the best approach to ensure accurate predictions? Should they modify the architecture, apply a non-linear transformation, or adjust the activation functions?",Data Science.pdf,hard,scenario,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf | ML.pdf
"A team is analyzing customer churn data with hidden labels indicating underlying distribution patterns. They cannot use maximum likelihood estimation (MLE) due to missing label information. What is the most appropriate technique to estimate model parameters, and why would this method be preferable in this scenario?",Data Science.pdf,hard,scenario,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf
"A researcher is using PCA for visualizing high-dimensional gene expression data. They notice the first two principal components only explain 30% of the variance. What is the best course of action to ensure the visualization remains meaningful, and how would they validate their decision?",Data Science.pdf,hard,scenario,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf
"An engineer is deploying a k-NN classifier but observes poor performance with high k values. While larger k reduces noise influence, the majority class dominates predictions. What is the optimal strategy to balance these trade-offs, and how would they implement this dynamically during inference?",Data Science.pdf,hard,scenario,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | ML.pdf | AI Engineering.pdf | Data Science.pdf
"A data analyst creates a QQ plot to compare two datasets but notices significant deviations from the reference line. What does this indicate about the underlying distributions, and how could they quantify the degree of distributional dissimilarity using the plot's features?",Data Science.pdf,hard,scenario,1,1,1.0,0.2,1.0,1.0,Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf
What is Machine Learning Yearning?,ML.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | ML.pdf | AI Engineering.pdf
What is a dev set in machine learning?,ML.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | ML.pdf | ML.pdf
What is error analysis in the context of machine learning?,ML.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | ML.pdf | ML.pdf
What is a training set in machine learning?,ML.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | Data Science.pdf | ML.pdf
What is human-level performance in machine learning?,ML.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | ML.pdf | ML.pdf
Why is it important to have sufficiently large dev/test sets when evaluating algorithmic improvements in machine learning?,ML.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | ML.pdf | ML.pdf
"How does the presence of mislabeled examples in a dev set affect the accuracy estimates, and why is improving label quality critical for error analysis?",ML.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | ML.pdf | ML.pdf
"What insight does analyzing training set errors provide about the specific challenges an algorithm faces, and how can this guide improvements?",ML.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | ML.pdf | ML.pdf
"Why is using the best human-level performance (e.g., a team of experts) rather than individual human error rates a better benchmark for machine learning systems?",ML.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | ML.pdf | ML.pdf
"What practical challenges prevent teams from relying on statistical significance tests for evaluating algorithmic progress, despite their theoretical value?",ML.pdf,medium,conceptual,2,1,1.0,0.2,0.5,0.6309297535714575,Data Science.pdf | ML.pdf | ML.pdf | ML.pdf | AI Engineering.pdf
How does the required size of a dev set differ when aiming to detect a 0.1% improvement versus a 0.01% improvement in model performance?,ML.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | ML.pdf | ML.pdf
"What is the relative impact of mislabeled examples versus other causes on the overall accuracy of a dev set, according to the error breakdown provided?",ML.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | ML.pdf | ML.pdf
How does error analysis on the training set differ from error analysis on the dev set in terms of identifying specific issues with a machine learning model?,ML.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | ML.pdf | ML.pdf
"Which human-level performance benchmark is recommended for setting the optimal error rate, and why is the team of doctors' 2% error rate preferred over the experienced doctor's 5% error rate?",ML.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | ML.pdf | ML.pdf
"How does the approach to defining human-level performance differ when a system is at 40% error versus when it is at 10% error, according to the document?",ML.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | ML.pdf | ML.pdf
You're developing a recommendation system for an e-commerce platform where even a 0.01% improvement in accuracy could significantly boost profits. What dev set size would you recommend to reliably detect such a small performance difference?,ML.pdf,hard,scenario,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | ML.pdf | ML.pdf
"Your team's dev set has 1,000 examples with 98.0% accuracy, but 30% of errors are due to mislabeled images. Should you prioritize improving label quality first, or focus on algorithmic improvements? What factors would influence this decision?",ML.pdf,hard,scenario,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | ML.pdf | ML.pdf
A speech recognition system has 75% of training errors attributed to background noise. How would you design an error analysis process to identify the most impactful improvements while balancing practical constraints?,ML.pdf,hard,scenario,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | ML.pdf | ML.pdf
"For a medical imaging diagnostic system, should you use the error rate of a single junior doctor (10% error) or a team of experienced doctors (2% error) as the benchmark for human-level performance? What tradeoffs are involved in this choice?",ML.pdf,hard,scenario,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | ML.pdf | ML.pdf
"Your team is optimizing a model's dev set performance but notices test set accuracy is lower than expected. What specific label quality issues in the dev/test sets could explain this discrepancy, and how would you address them?",ML.pdf,hard,scenario,1,1,1.0,0.2,1.0,1.0,ML.pdf | ML.pdf | ML.pdf | ML.pdf | ML.pdf
What is Scope in Python?,Python.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,Python.pdf | Python.pdf | Python.pdf | Python.pdf | Python.pdf
What are Generators in Python?,Python.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,Python.pdf | Python.pdf | Python.pdf | Python.pdf | Python.pdf
What are Exception Groups in Python?,Python.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,Python.pdf | Python.pdf | Data Science.pdf | Python.pdf | Data Science.pdf
What are Dictionary Comprehensions in Python?,Python.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,Python.pdf | Python.pdf | Python.pdf | Python.pdf | Python.pdf
What is a Decorator in Python?,Python.pdf,easy,definition,1,1,1.0,0.2,1.0,1.0,Python.pdf | Python.pdf | Python.pdf | Python.pdf | Python.pdf
Why is understanding variable scope critical for managing state in Python programs?,Python.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,Python.pdf | Python.pdf | Data Science.pdf | Data Science.pdf | Data Science.pdf
How do generators in Python demonstrate the principle of lazy evaluation through state preservation?,Python.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,Python.pdf | Python.pdf | Python.pdf | AI Engineering.pdf | Data Science.pdf
What principle does the ExceptionGroup feature in Python illustrate about error handling and exception organization?,Python.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,Python.pdf | Data Science.pdf | Python.pdf | Data Science.pdf | Data Science.pdf
How do dictionary comprehensions exemplify the trade-off between conciseness and readability in Python code?,Python.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,Python.pdf | Python.pdf | Python.pdf | Python.pdf | Python.pdf
Why is the use of *args and **kwargs in decorators considered a design principle for flexibility in Python?,Python.pdf,medium,conceptual,1,1,1.0,0.2,1.0,1.0,Python.pdf | Python.pdf | Python.pdf | Python.pdf | Python.pdf
"How do local variables differ from global variables in Python, and what are their respective scopes?",Python.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,Python.pdf | Python.pdf | Python.pdf | Python.pdf | Data Science.pdf
"What is the primary distinction between generators and regular functions in Python, and how does this affect their usage?",Python.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,Python.pdf | Python.pdf | Python.pdf | Python.pdf | Python.pdf
How does exception handling with Exception Groups in Python compare to traditional exception handling techniques?,Python.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,Python.pdf | Data Science.pdf | Python.pdf | Data Science.pdf | Data Science.pdf
What are the key differences between constructing dictionaries using for loops and dictionary comprehensions in Python?,Python.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,Python.pdf | Python.pdf | Python.pdf | Python.pdf | Python.pdf
"How does the split() method in Python compare to slicing when processing strings, and what are their respective outputs?",Python.pdf,medium,comparison,1,1,1.0,0.2,1.0,1.0,Python.pdf | Python.pdf | Python.pdf | Python.pdf | Python.pdf
